expression_id	physical_unique_source_occurrences	canonical_projected_occurrences	normalized_tex
expr-075b55206a955ee4	1	1	\Box!A \land \Box!B \fCenter \Box (!A \land !B)
expr-07ea89381935676e	2	2	\Log{S4} = \Log{KT4}
expr-092317f4ffe738ba	4	4	\Log{KT5} \Proves \Ax{B}
expr-0965332ddfce1eba	0	1	\Axiom$!A \fCenter !A$ \RightLabel{\RightR{\lnot}} \UnaryInf$\fCenter !A, \lnot !A$ \RightLabel{\RightR{\Exchange}} \UnaryInf$\fCenter \lnot !A, !A$ \RightLabel{$\Box*$} \UnaryInf$\fCenter \lnot!A, \Box !A$ \doubleLine \RightLabel{\RightR{\lor}} \UnaryInf$\fCenter \lnot!A \lor \Box !A$ \DisplayProof \qquad \Axiom$!A \fCenter !A$ \RightLabel{\LeftR{\lnot}} \UnaryInf$\lnot !A, !A \fCenter$ \RightLabel{$\Diamond*$} \UnaryInf$\Diamond\lnot !A, !A \fCenter $ \RightLabel{\RightR{\lnot}} \UnaryInf$!A \fCenter \lnot\Diamond\lnot !A$ \RightLabel{\RightR{\lif}} \UnaryInf$ \fCenter !A \lif \lnot\Diamond\lnot !A$ \DisplayProof
expr-0adcf3b28e16c022	2	2	\Log{D} = \Log{KD}
expr-0c7a2a029e48e48a	1	1	\Box!A \fCenter \Box\Box!A
expr-0d310cfebabfbeed	1	1	\fCenter \Box !A \liff \lnot\Diamond\lnot !A
expr-104c163fc9acba6d	1	1	!B, !A \fCenter !A \land !B
expr-10ae08ffb985e2e2	1	1	\Gamma, \Diamond\Pi \fCenter \Box\Delta, \Lambda, !A
expr-13281e8b77b52b71	1	1	\fCenter \Box !A, \Diamond\lnot !A
expr-165a2676a255cdfb	4	4	\Log{KT} \Proves \Ax{D}
expr-166d4ccd027fe77d	1	1	\Box\Gamma \fCenter \Diamond\Delta, \Box!A
expr-17e09680d193f473	1	1	\lnot\Diamond\lnot !A \fCenter \Box !A
expr-18ec1b377df01eca	1	1	\fCenter \Diamond\Box!A \lif !A
expr-1b358765e557e1af	1	1	\Box!A \land \Box!B, \Box!A \land \Box!B \fCenter \Box (!A \land !B)
expr-1d53a3d55dc2a808	1	1	\Diamond!A, \Box\Gamma \fCenter \Diamond\Delta
expr-1e095d3ffc5363ea	4	4	\Log{KB5} \Proves \Ax{4}
expr-1e1eed9c7b8f0d1c	2	2	\Box!A \lif \Box\Box!A
expr-21d031b0dacd8cc7	10	10	\Log{K}
expr-258241999db8397a	1	1	!A, \Box\Gamma \fCenter \Diamond\Delta
expr-274b575a29c806cf	1	1	!B \fCenter !A, !B
expr-28fc3f45e792a3a4	2	3	!A \fCenter !A, !B
expr-308e7581edc27c37	2	2	\Proves (\Box!A \land \Box!B) \lif \Box (!A \land !B)
expr-36857028496beb66	1	1	\Diamond\Box!A \fCenter !A
expr-3b9b79000d3b0004	5	3	\Log{S5} \Proves \Ax{5}
expr-3dd2842e80d11f12	1	1	\Box!A, \Box!A \land \Box!B \fCenter \Box (!A \land !B)
expr-48b7b8587503e897	2	2	\Log{B} = \Log{KTB}
expr-4b3f8c5b9e20c0c3	1	1	\Box\Gamma \fCenter \Diamond\Delta, !A
expr-4b5d6fb787124374	1	1	\Diamond!A, \Gamma, \Box\Pi \fCenter \Lambda, \Diamond\Delta
expr-4ee59b68125f5f6c	3	3	(\Box p \lor \Box q) \lif \Box(p \lor q)
expr-4efb245d5d027e51	1	1	\Box!A \fCenter \Box!A
expr-5136fc4246e7d497	81	67	\Diamond
expr-52baf5b113b97063	4	4	\Log{KDB4} \Proves \Ax{T}
expr-57885e4c75965b23	626	824	\Gamma
expr-57ba3e400544d418	9	17	!A, \Gamma \fCenter \Delta
expr-62a7581d7620bb78	2	2	\Log{K4}
expr-64d0f2c008a7c881	30	49	\Log{LK}
expr-7120f8695fd9aa83	4	4	\Log{KB4} \Proves \Ax{5}
expr-751379acac529582	3	3	\Diamond p \lif \Diamond(p \lor q)
expr-76de36a7895b26b9	1	1	\Diamond\Box !A \lif !A
expr-78891f179acaabfa	1	1	\Box\Gamma \fCenter \Diamond\Delta
expr-790096d98bef3ec8	2	2	\Diamond\Delta
expr-8238c028f61fc0f7	1065	1252	!A
expr-85882d911ac7a0f4	1	1	\Box!A \lor \Box \lnot !A
expr-88855060a722f93c	4	2	\Diamond!A \lif \Box\Diamond!A
expr-8a026e0b5e09d4fc	3	5	\fCenter !A, \lnot !A
expr-8c2574892063f995	201	196	R
expr-8c2ec4ac07ee1593	2	2	\Log{T} = \Log{KT}
expr-8d9103e703ca6968	1	1	\Diamond(!A \lor !B) \fCenter \Diamond !A \lor \Diamond!B
