expression_id	physical_unique_source_occurrences	canonical_projected_occurrences	normalized_tex
expr-00242f5bcdc7edea	2	2	\Atom{\Obj P}{\Obj v_i}
expr-01208e159d2aec8c	58	66	\land
expr-0150cc6ee459483e	27	27	Rxy
expr-043a718774c572bd	214	211	s
expr-07ba1733077dc377	3	3	\Atom{\Obj P}{\Obj v_0}
expr-0ab83730c263f0b7	13	14	\Entails !A
expr-0b5f5f230060ad76	1	1	\Assign{\Obj a}{M} = 1
expr-0feeab53510b9b84	5	4	\Sat{M}{!A(t)}
expr-10b49c78a2f87ad3	3	3	s(\Obj v_0)
expr-138a6201a70e5f79	8	8	\Atom{\Obj P}{\Obj a}
expr-151169f9933258d1	7	7	m = 1
expr-1b16b1df538ba12d	467	478	n
expr-1b183611dca40cdc	2	2	\Obj b
expr-1b1952a0b5c7bb19	8	8	\Obj a
expr-1ca87a5f2021c05f	1	1	\Atom{\Obj P}{x}
expr-1ddc4a673cfde62f	3	3	!A \land \lnot !A
expr-2160509ff364e743	108	108	\Struct M
expr-284c47be48fb0c66	63	71	\lnot
expr-293dd022ae61e8d1	1	1	(\Atom{\Obj P}{\Obj x} \land \lexists[\Obj x][\Atom{\Obj P}{\Obj x}])
expr-2bd8a4d6431e31a9	1	1	\Sat{M}{\Atom{\Obj P}{\Obj v_0}}[s']
expr-2d2b51f442bf96d9	19	19	\Sat{M}{!A}[s]
expr-2d711642b726b044	501	497	x
expr-30619fce55b9572a	1	1	\Sat{M}{\Atom{\Obj P}{\Obj v_0}}[s]
expr-33a9c96304bcc292	64	65	\Domain{M}
expr-33ac84430830e9b5	1	1	& \lforall[\Obj v_0][\Atom{\Obj P}{\Obj v_0,\Obj v_0}]\\ & \lforall[\Obj v_0][\lforall[\Obj v_1][\lforall[\Obj v_2][((\Atom{\Obj P}{\Obj v_0,\Obj v_1} \land \Atom{\Obj P}{\Obj v_1,\Obj v_2}) \lif \Atom{\Obj P}{\Obj v_0,\Obj v_2})]]]
expr-35778d0c58e7bc5f	1	1	\Sat{M}{!A}[\Subst{s}{m}{\Obj v_i}]
expr-3696c1d763aad004	10	10	\Obj v_1
expr-3bb4ff20f8f340ca	3	3	Rxx
expr-42b8f19ae63d24a4	233	251	\Struct{M}
expr-436db3f7ba910e09	1	1	\lnot \Atom{\Obj P}{\Obj a}
expr-4bfd703aa92032ab	2	2	\lnot \Atom{\Obj P}{\Obj v_2}
expr-4e07408562bedb8b	54	56	3
expr-4ed7cc16bcf54fdc	1	1	R \subseteq A \times A
expr-4eec1d070fd13e59	8	8	\Obj P
expr-4f99b1d94f400628	2	2	\lforall[x][(!A(x) \lif !B(x))
expr-51eed90e70c372b3	1	1	\lexists[\Obj x][\Atom{\Obj P}{\Obj x}]
expr-559aead08264d579	478	477	A
expr-57885e4c75965b23	626	824	\Gamma
expr-5e769b89788d547a	14	12	s'
expr-5feceb66ffc86f38	220	219	0
expr-62c66a7a5dd70c31	105	105	m
expr-63aebfc904be6499	2	2	\lexists[\Obj v_0][\Atom{\Obj P}{\Obj v_0}]
expr-683f27b9d2b814f6	1	1	\Assign{\Obj P}{M} \subseteq \Domain{M}
expr-6ac7a8631cc7c555	3	3	\Assign{\Obj P}{M}
expr-6b86b273ff34fce1	238	241	1
expr-6c16de5e60d08aa0	2	2	\Obj x
expr-6f4851da61234f0e	1	1	\Sat{M}{\lnot !A}[s]
expr-703275260999a3ce	17	17	\Obj v_0
expr-71983740200349d8	23	24	\lforall[x][!A(x)]
expr-75691798ae6fc7f5	1	1	\Sat{M}{(!A \land !B)}[s]
expr-7b8d0386f0c30650	1	1	\Assign{\Obj a}{M} \in \Domain{M}
expr-81aa5a490db29cc9	42	42	!A(x)
expr-8238c028f61fc0f7	1065	1252	!A
expr-832ec5ef758bca65	13	13	n \in \PosInt
expr-8740a869ee7070b6	1	1	\lexists[\Obj v_0][\lexists[\Obj v_0][\Atom{\Obj P}{\Obj a}]]
expr-88137e247b954ff1	1	1	\Sat{M}{\Atom{\Obj P}{\Obj v_i}}[s]
expr-8c2574892063f995	201	196	R
expr-8cc4da4685ccb6d6	6	4	\Sat{M}{!A(x)}[\Subst{s}{m}{x}]
expr-94be9e04d61fd7a5	2	2	\Sat{M}{\lexists[\Obj v_0][\Atom{\Obj P}{\Obj v_0}]}[s]
expr-966bae64f90f0784	3	3	\lforall[x][(!A(x) \lif !B(x))]
expr-96de103b70198937	1	1	(\Atom{\Obj P}{\Obj a} \land \Atom{\Obj Q}{\Obj b})
expr-9739d6e0c9f5971c	5	5	\lexists[x][!B(x)]
expr-992accb9917efeb5	109	125	!C
expr-9965ba726584121a	1	1	\lnot\lnot \Atom{\Obj P}{\Obj a}
expr-9a90534774031269	1	1	\Sat{M}{\Atom{\Obj P}{\Obj v_0}}[\Subst{s}{m}{\Obj v_0}]
expr-9aa638c231a255fc	6	6	Rxz
expr-9b4e74a1af8e8d37	1	1	(\lnot \Atom{\Obj P}{\Obj a})
expr-9b646b8e5fe451fc	1	1	s(\Obj v_i) \in \Assign{\Obj P}{M}
expr-a1fce4363854ff88	196	196	y
expr-a31b23489d111360	4	4	i \in \Nat
expr-a514db89f64fcf0b	9	8	\lexists[x][!A]
expr-a6d7b9622714c272	1	1	\Sat{M}{\lexists[\Obj v_i][!A]}[s]
expr-ab733e02bed54e75	73	89	\Gamma \Entails !A
expr-ad3b834387551e8a	1	1	\Domain{M} = A
expr-b00c66153eb87c33	1	1	\Subst{s}{m}{\Obj v_0}
expr-b2ba8fb47c806d51	1	1	\Sat{M}{\Atom{\Obj P}{\Obj v_0}}[\Subst{s}{1}{\Obj v_0}]
expr-b7284c8110aa90b7	2	2	\Atom{\Obj P}{\Obj v_2}
expr-b72990d32b4f2166	3	2	\Sat{M}{!A(t)}[s]
expr-ba20d12f6de81d88	1	1	\lforall[x][(!A(x) \lif !B(x)), \lexists[x][!A(x)] \Entails \lexists[x][!B(x)]]
expr-bf3d8d8cbd3fe05d	6	4	\Sat{M}{!B}[s]
expr-c59ec4b409f84907	5	3	\lexists[x][!B]
expr-c63f9557f464c93a	80	102	\lnot !A
expr-c9f8f54b3b3a0c76	1	1	s(\Obj v_i) = 0
expr-cb87591282be7cf7	1	1	\lforall[\Obj v_0][\Atom{\Obj P}]{\Obj v_0}
expr-cbbba670a3f47b53	121	203	\Gamma \Proves !A
expr-cc6d41a02d9bcc3d	1	1	\lexists[\Obj v_0][\Atom{\Obj P}{\Obj a}]
expr-ccd5102e71cf6cd3	3	3	\lexists[\Obj v_2][\lnot \Atom{\Obj P}{\Obj v_2}]
expr-cd1bdc98ecfabd28	2	2	\Assign{\Obj a}{M} \in \Assign{\Obj P}{M}
expr-cd3dd32ea3335638	2	2	\lexists[y][!B]
expr-d055ee4dbcdd0c8b	392	469	!B
expr-d08554f63437b70a	1	1	(\lnot \Atom{\Obj P}{\Obj a} \land \Atom{\Obj P}{\Obj a})
expr-d3177012dcf9ccb6	17	11	m \in \Domain{M}
expr-d4735e3a265e16ee	71	75	2
expr-d475527c5abd77f4	21	21	\lexists[x][!A(x)]
expr-d4a0cfb83b24d498	5	5	\lforall[x]
expr-d93043758ca96d97	5	4	m = 2
expr-d9966ee233073815	1	1	\Sat{M}{\Atom{\Obj P}{\Obj a}}[s]
expr-dc68d95f73476d2a	1	1	\Assign{\Obj a}{M}
expr-dd7d690b005e955c	30	51	\Sat{M}{!A}
expr-dff0d05cbc0d978a	1	1	\lexists[\Obj x][\Atom{\Obj P}{\Obj a}]
expr-e0db56ad88a805da	1	1	\lexists[\Obj x][\lexists[\Obj x][\Atom{\Obj P}{\Obj x}]]
expr-e122073aa826d79d	4	4	Ryz
