expression_id	physical_unique_source_occurrences	canonical_projected_occurrences	normalized_tex
expr-00fe9b383f124db5	6	6	y_n
expr-0392a7f58dc6f6ba	18	18	\Obj 0
expr-04290de733e78ab2	1	1	!A(x_1, \dots, x_k)
expr-10e072fde0c2a074	14	14	\Subst{!A}{t}{x}
expr-12d9b1e9f8e5096a	2	2	\Sat{N}{!A(x)}[s]
expr-189fd3281c2dba40	2	2	X_{!A}
expr-18ac3e7343f01689	43	43	d
expr-194dc7fcadcedaea	1	1	!A(x_1, \dots, x_k, y)
expr-19e9c269d8cb4bcf	2	2	s(x) = n
expr-1b16b1df538ba12d	467	478	n
expr-1b8340cbc4763167	4	4	f\colon \Nat^k \to \Nat
expr-1d5c7a4a8bd57efb	2	2	\Assign{\Obj \prime}{N}(n) = n + 1
expr-1dcbe3fa05542df9	5	5	n \in D
expr-1ddc4a673cfde62f	3	3	!A \land \lnot !A
expr-1f97d653b7ed2d2b	18	19	n+1
expr-21cb0b6872f81e31	1	1	\Th{TA} \Entails \lnot !A
expr-2276f20a68e8bc6c	2	2	d \notin D
expr-233c3669cce10c28	4	4	\Struct N
expr-252f10c83610ebca	404	398	f
expr-284c47be48fb0c66	63	71	\lnot
expr-2a1dc4189af4e832	2	2	\Assign{\Obj \times}{N}(n, m) = n\cdot m
expr-2d511c187d84d509	1	1	\Gamma \Proves \lforall[y](!A(\num{n_1}, \dots, \num{n_k}, y) \lif y = \num{m})
expr-2d711642b726b044	501	497	x
expr-305103140e202ac0	1	1	D \subseteq \Nat
expr-33b1d4adba206718	1	1	R \subseteq \Nat^k
expr-342776565b5bf0e6	1	1	x \times y
expr-349ba76d907adfab	26	26	\times
expr-37303b54a174a80a	1	1	\Th{Q} = \Setabs{!A}{\{!Q_1, \dots, !Q_8\} \Entails !A}.
expr-3d2df79065b6f165	236	236	\Th{Q}
expr-3e02d29541b9dc8d	1	1	(\num{2} + \num{3}) = \num{5}
expr-3f1b6dc519af96a7	16	16	\prime
expr-3f38f9099b7b27bb	1	1	\lforall[y_1][\dots\lforall[y_n][((!A(\Obj 0) \land \lforall[x][(!A(x) \lif !A(x'))]) \lif \lforall[x][!A(x)])]]
expr-3f39d5c348e5b79d	37	37	D
expr-4624e4c302dec30e	1	1	\Th{TA} = \Setabs{!A}{\Sat{N}{!A}}.
expr-4a5f9b28c7dae2c7	1	1	\OProv[\Gamma](x)
expr-4b68ab3847feda7d	108	108	X
expr-4be9f56ddfff63ff	1	1	\Gamma \Proves !A(\num{n_1}, \dots, \num{n_k}, \num{m})
expr-4e07408562bedb8b	54	56	3
expr-52e4b1e57e932dad	2	2	0 \in X_{!A}
expr-53f8d2db25f75cf3	1	1	!A(\num{n})
expr-57885e4c75965b23	626	824	\Gamma
expr-57b011c61ad335dd	1	1	\Th{Q} \Proves !A_f(\num{n_1}, \num{n_2}, \num{m})
expr-583292a11ba24381	2	2	n_1
expr-5afa20230f875253	42	42	n \in \Nat
expr-5b63a60fdb499c3a	110	110	\Struct{N}
expr-5c41998a533c3083	2	2	n \in X_{!A}
expr-5feceb66ffc86f38	220	219	0
expr-6193864491e4d7b1	9	9	\Sat{N}{!A}
expr-62c66a7a5dd70c31	105	105	m
expr-63077942e4d90ef5	1	1	\Gamma = \Setabs{!A}{\Gamma_0 \Entails !A}
expr-643fbf6e4b47c099	1	1	\Gamma \Proves \lnot !A(\num{n_1}, \dots, \num{n_k})
expr-6562529bf967e9a8	2	2	f(n_1, \dots, n_k) = m
expr-6637867ac78daee3	1	1	\lnot !A_n(\num{n})
expr-668f5d0c2102ac90	1	1	\lnot !A(\num{n}) \in \Gamma
expr-66985e1aab72eb72	2	2	1 \in X_{!A}
expr-6750634c0fe2bd68	1	1	f(n_1, n_2) = m
expr-68a0237f0c73a77c	2	2	\Assign{\Obj +}{N}(n, m) = n + m
expr-69db2efcf937c1ef	2	2	\Assign{\Obj 0}{N} = 0
expr-6a99751d93986ab4	1	1	= 0
expr-6b86b273ff34fce1	238	241	1
expr-6c610d09a35efbf8	5	9	\Gamma \Proves \lnot !A
expr-6e4cbbf82204396a	2	2	!A \in \Th{TA}
expr-71983740200349d8	23	24	\lforall[x][!A(x)]
expr-71c52326c9b7e234	1	1	\Gamma \Proves/ \lnot !A
expr-729f2cd8398e9960	25	25	\in
expr-73c66f31256bd49a	1	1	D = \Setabs{n}{\Gamma \Proves \lnot !A_n(\num{n})}
expr-74c0e74537bf75aa	2	2	& \lforall[x][\lforall[y][(\eq[x'][y'] \lif \eq[x][y])]] \tag{$!Q_1$}\\ & \lforall[x][\eq/[\Obj 0][x']] \tag{$!Q_2$}\\ & \lforall[x][(\eq[x][\Obj 0] \lor \lexists[y][\eq[x][y']])] \tag{$!Q_3$}\\ & \lforall[x][\eq[(x + \Obj 0)][x]] \tag{$!Q_4$}\\ & \lforall[x][\lforall[y][\eq[(x + y')][(x + y)']]] \tag{$!Q_5$}\\ & \lforall[x][\eq[(x \times \Obj 0)][\Obj 0]] \tag{$!Q_6$}\\ & \lforall[x][\lforall[y][\eq[(x \times y')][((x \times y) + x)]]] \tag{$!Q_7$}\\ & \lforall[x][\lforall[y][(x < y \liff \lexists[z][\eq[(z' + x)][y]])]] \tag{$!Q_8$}
expr-74ff7b7ac2470720	2	2	\Assign{\Obj <}{N} = \Setabs{\tuple{n, m}}{n \in \Nat, m \in \Nat, n < m}
expr-77e6f9505f66fa91	1	1	2+3 = 5
expr-79d4c7f9c8579543	117	115	\Nat
expr-7a9a8f9dd6debc33	3	3	x \in X
expr-7df1a618a9888478	3	3	d \in D
expr-7f024b2d7f1db4d4	19	19	\num{n}
expr-814745bd35a2a37b	1	1	!A(\Obj 0, y_1, \dots, y_n) \land \lforall[x][(!A(x, y_1, \dots, y_n) \lif !A(x', y_1, \dots, y_n))]
expr-81aa5a490db29cc9	42	42	!A(x)
expr-8238c028f61fc0f7	1065	1252	!A
expr-8779068734acaece	8	8	\cdot
expr-8c2169ebe37c4966	2	2	!A_0(x)
expr-8efa5ea4fe923a45	1	1	\lforall[x][!A(x, y_1, \dots, y_n)]
expr-90d79610990ddcb2	2	2	n \notin D
expr-98571ab199ee3a75	1	1	\Sat{N}{\lnot !A}
expr-9af4148d0e745f37	1	1	2 \in X_{!A}
expr-a0ab927e8683220d	1	1	\OCon
expr-a12b4cca9a048807	1	1	\Gamma \Proves !A_d(\num{d})
expr-a318c24216defe20	29	29	+
expr-a63b58fbb7050d47	2	2	\Obj f^2_1
expr-a8e0639bf1645146	2	2	R(n_1, \dots, n_k)
expr-ab733e02bed54e75	73	89	\Gamma \Entails !A
expr-adedb03de35ed98c	1	1	\Gamma)
expr-af414b0457e53cda	1	1	\Gamma \Proves !A(\num{n_1}, \dots, \num{n_k})
expr-b31f9dce7c89d4e2	1	1	\Sat{N}{\Th{TA}}
expr-b6b337ece4924770	2	2	n_2
expr-bc9367794d2761fe	73	81	!A \in \Gamma
expr-be58d8ae65b26403	8	8	\Obj{0}
expr-c63f9557f464c93a	80	102	\lnot !A
expr-c806cdc5d3b3372b	2	2	\Char{X}(!B) = 1
expr-c887b3828dd4ba10	5	5	y_1
expr-caff5d1112939253	1	1	\{!Q_1, \dots, !Q_8\}
expr-cb40773102c92888	2	2	\Gamma \Entails \lnot !A
expr-cbbba670a3f47b53	121	203	\Gamma \Proves !A
expr-cbf770cbe9a2d200	2	2	\Gamma \Proves \lnot !A_d(\num{d})
expr-cd37871db1ba340f	21	33	!A \lor \lnot !A
expr-cdc2ed7d3b3d72c2	130	171	\lfalse
expr-cde346439cd0151b	1	1	!A_f(x_1, x_2, y)
expr-d03543adcda36df1	28	43	\Gamma_0
expr-d055ee4dbcdd0c8b	392	469	!B
expr-d203ba01eef4198c	74	89	\delta
expr-d4735e3a265e16ee	71	75	2
expr-d4a0cfb83b24d498	5	5	\lforall[x]
expr-d6af7a2a04de9b37	1	1	f \colon \Nat \to X
expr-d6f7e36999a71407	2	2	\Domain N = \Nat
expr-d7a17ee1489cf9bc	23	23	\Lang L_A
expr-d89ad7af62404a57	64	64	\Th{PA}
expr-daadff1066574ea0	4	4	!G_\Gamma
expr-dabd3aff769f07eb	73	73	<
expr-dc9f6d82c234a7e1	1	1	f(x_1, x_2)
expr-dcc10690963a4de2	2	2	!A_1(x)
expr-e0fca11a04a2a41c	2	2	!A_n(x)
expr-e11ab910214796e7	1	1	((!A(\Obj 0) \land \lforall[x][(!A(x) \lif !A(x'))]) \lif \lforall[x][!A(x)]).
expr-e492b02824f52f65	5	5	n, m \in \Nat
expr-e9096094fbd36747	1	1	\Th{PA} = \Th{TA}
expr-e9e3fcec583a9837	1	1	\Gamma \Proves \Prov[\Gamma](\num{n})
expr-eee1c230c6f27590	21	21	\Th{TA}
expr-ef2d127de37b942b	10	9	5
