decision_id,chapter_key,view,route,math_root_ordinal,formula_id,expression_id,source_file,source_line,source_column,source_anchor_count,source_anchor_resolution,source_anchor_set_json,final_printed_page,source_tex,before_mathml_sha256,after_mathml_sha256
OLAB-EN-A11Y-NOTATION-002,cmp:thy,explore,parts/cmp/chapters/thy/explore.html,23,,expr-0cf9a00d1baab384,content/computability/computability-theory/k-1.tex,24,7,1,expression-occurrence-set-cross-chapter,"[{""chapter_key"":null,""formula_id"":""projected-formula-0016006"",""normalized_tex"":""K_1 = \\Setabs{e}{\\lexists[s][T(e,0,s)]}"",""source_column"":7,""source_file"":""content/computability/computability-theory/k-1.tex"",""source_ledger"":""data/cmp-thy-semantic/semantic_occurrences.jsonl"",""source_ledger_line"":687,""source_line"":24}]",PENDING_FINAL_PAGINATION,"K_1 = \Setabs{e}{\lexists[s][T(e,0,s)]}",01124d01c7bbb02896afc7c93faa88a574840a9643ef23607d37cb602f94c258,9cc39973c4188f3eb82b76346aa1d3c0279ffc76a42a338d77ddd2cb5747810e
OLAB-EN-A11Y-NOTATION-002,cmp:thy,explore,parts/cmp/chapters/thy/explore.html,73,,expr-3278d314268082cb,content/computability/computability-theory/rice-theorem.tex,24,63,2,expression-occurrence-set-cross-chapter,"[{""chapter_key"":null,""formula_id"":""projected-formula-0016093"",""normalized_tex"":""A = \\Setabs{n}{\\cfind{n} \\in C}"",""source_column"":63,""source_file"":""content/computability/computability-theory/rice-theorem.tex"",""source_ledger"":""data/cmp-thy-semantic/semantic_occurrences.jsonl"",""source_ledger_line"":774,""source_line"":24},{""chapter_key"":null,""formula_id"":""projected-formula-0016106"",""normalized_tex"":""A = \\Setabs{n}{\\cfind{n} \\in C}"",""source_column"":6,""source_file"":""content/computability/computability-theory/rice-theorem.tex"",""source_ledger"":""data/cmp-thy-semantic/semantic_occurrences.jsonl"",""source_ledger_line"":787,""source_line"":35}]",PENDING_FINAL_PAGINATION,A = \Setabs{n}{\cfind{n} \in C},3db31ea953197a701c403f694f3f3398b12b55fa109974c3eefbf25c18d7f8f4,1079647e732912d80d12ec234409d0907bc626f1208e83c9445cea20a4dc9f4b
OLAB-EN-A11Y-NOTATION-002,cmp:thy,explore,parts/cmp/chapters/thy/explore.html,74,,expr-32b3b38bf69c8391,content/computability/computability-theory/russells-paradox.tex,15,30,1,expression-occurrence-set-cross-chapter,"[{""chapter_key"":null,""formula_id"":""projected-formula-0015541"",""normalized_tex"":""S = \\Setabs{x}{x \\notin x}"",""source_column"":30,""source_file"":""content/computability/computability-theory/russells-paradox.tex"",""source_ledger"":""data/cmp-thy-semantic/semantic_occurrences.jsonl"",""source_ledger_line"":222,""source_line"":15}]",PENDING_FINAL_PAGINATION,S = \Setabs{x}{x \notin x},067b1210ee55d29c003182be41950803473c238095995e005c24713120323153,7bdfc160d31dbea09a8f2e1958a3b9970195ea917fdf24747272a97893651f50
OLAB-EN-A11Y-NOTATION-002,cmp:thy,explore,parts/cmp/chapters/thy/explore.html,78,,expr-3432408e34956dfa,content/computability/computability-theory/complete-ce-sets.tex,32,1,1,expression-occurrence-set-cross-chapter,"[{""chapter_key"":null,""formula_id"":""projected-formula-0015988"",""normalized_tex"":""B = W_e = \\Setabs{x}{\\cfind{e}(x) \\fdefined}."",""source_column"":1,""source_file"":""content/computability/computability-theory/complete-ce-sets.tex"",""source_ledger"":""data/cmp-thy-semantic/semantic_occurrences.jsonl"",""source_ledger_line"":669,""source_line"":32}]",PENDING_FINAL_PAGINATION,B = W_e = \Setabs{x}{\cfind{e}(x) \fdefined}.,329149b48993e4c60e41d31b18878e7c1270ee8bb314a29e4cc3fbf4ce934641,ad1a49365466ba08a200fe1993071dfbecc02a9ff01e91dae795bd9d65eef2bd
OLAB-EN-A11Y-NOTATION-002,cmp:thy,explore,parts/cmp/chapters/thy/explore.html,93,,expr-40092fb12ce7d2b9,content/computability/computability-theory/equiv-ce-defs.tex,132,1,1,expression-occurrence-set-cross-chapter,"[{""chapter_key"":null,""formula_id"":""projected-formula-0015690"",""normalized_tex"":""W_e = \\Setabs{x}{\\cfind{e}(x) \\fdefined}."",""source_column"":1,""source_file"":""content/computability/computability-theory/equiv-ce-defs.tex"",""source_ledger"":""data/cmp-thy-semantic/semantic_occurrences.jsonl"",""source_ledger_line"":371,""source_line"":132}]",PENDING_FINAL_PAGINATION,W_e = \Setabs{x}{\cfind{e}(x) \fdefined}.,1031454b6cb1b1132d217a2846469de99e6672b123daab8f015df4b36a5eb395,292feb9b8d54c515825fe6af7bdd6694c0f5dbdd6c2ca92a827ac273f5710cfe
OLAB-EN-A11Y-NOTATION-002,cmp:thy,explore,parts/cmp/chapters/thy/explore.html,150,,expr-6bf7cbf3c883ca8a,content/computability/computability-theory/equiv-ce-defs.tex,36,1,2,expression-occurrence-set-cross-chapter,"[{""chapter_key"":null,""formula_id"":""projected-formula-0015603"",""normalized_tex"":""S = \\Setabs{x}{\\cfind{e}(x) \\fdefined}."",""source_column"":1,""source_file"":""content/computability/computability-theory/equiv-ce-defs.tex"",""source_ledger"":""data/cmp-thy-semantic/semantic_occurrences.jsonl"",""source_ledger_line"":284,""source_line"":36},{""chapter_key"":null,""formula_id"":""projected-formula-0015674"",""normalized_tex"":""S = \\Setabs{x}{\\cfind{e}(x) \\fdefined}."",""source_column"":1,""source_file"":""content/computability/computability-theory/equiv-ce-defs.tex"",""source_ledger"":""data/cmp-thy-semantic/semantic_occurrences.jsonl"",""source_ledger_line"":355,""source_line"":110}]",PENDING_FINAL_PAGINATION,S = \Setabs{x}{\cfind{e}(x) \fdefined}.,92b964e2f375e61db445f698d4085141f57680705e6b544b3947eb10328af2de,53740d7b6242d5b751f9facda6d43e7b90653f4567cdf024bd199a0cdb99482a
OLAB-EN-A11Y-NOTATION-002,cmp:thy,explore,parts/cmp/chapters/thy/explore.html,169,,expr-80759daa1178b685,content/computability/computability-theory/non-comp-set.tex,17,22,1,expression-occurrence-set-cross-chapter,"[{""chapter_key"":null,""formula_id"":""projected-formula-0015710"",""normalized_tex"":""\\Setabs{\\tuple{e, x}}{\\cfind{e}(x) \\fdefined}"",""source_column"":22,""source_file"":""content/computability/computability-theory/non-comp-set.tex"",""source_ledger"":""data/cmp-thy-semantic/semantic_occurrences.jsonl"",""source_ledger_line"":391,""source_line"":17}]",PENDING_FINAL_PAGINATION,"\Setabs{\tuple{e, x}}{\cfind{e}(x) \fdefined}",bef6023ebda4eabab7efdbd798701bfe42a61faa90e83b7fff53f71a9796ef40,70ef7a2631174aa1184f0bb953a3a168ff1a11aadb4a7428ca22c8c439fd7b9e
OLAB-EN-A11Y-NOTATION-002,cmp:thy,explore,parts/cmp/chapters/thy/explore.html,177,,expr-8bab7505b45d972a,content/computability/computability-theory/reducibility.tex,39,1,1,expression-occurrence-set-cross-chapter,"[{""chapter_key"":null,""formula_id"":""projected-formula-0015863"",""normalized_tex"":""K_0 = \\Setabs{\\tuple{e, x}}{\\cfind{e}(x) \\fdefined },"",""source_column"":1,""source_file"":""content/computability/computability-theory/reducibility.tex"",""source_ledger"":""data/cmp-thy-semantic/semantic_occurrences.jsonl"",""source_ledger_line"":544,""source_line"":39}]",PENDING_FINAL_PAGINATION,"K_0 = \Setabs{\tuple{e, x}}{\cfind{e}(x) \fdefined },",3b7304d8999c0194b7bc2b856cc0c1a6aa0b355aead99e11233fa25ae9c16aba,64368b3a10f455dcb34be2f5a2f58dc272b5beaa4fabf66acc6cc1e90ad1017f
OLAB-EN-A11Y-NOTATION-002,cmp:thy,explore,parts/cmp/chapters/thy/explore.html,214,,expr-a5ec8edf5fd5218f,content/computability/computability-theory/equiv-ce-defs.tex,144,1,1,expression-occurrence-set-cross-chapter,"[{""chapter_key"":null,""formula_id"":""projected-formula-0015696"",""normalized_tex"":""S = \\Setabs{ x }{ \\lexists[y][R(x,y)] }."",""source_column"":1,""source_file"":""content/computability/computability-theory/equiv-ce-defs.tex"",""source_ledger"":""data/cmp-thy-semantic/semantic_occurrences.jsonl"",""source_ledger_line"":377,""source_line"":144}]",PENDING_FINAL_PAGINATION,"S = \Setabs{ x }{ \lexists[y][R(x,y)] }.",2eb2b38cac47973433e5ea6a892359fb8bb9e1b2e2e1f5ad45b398d47e74139b,1568a753f7384d1f26bebb8142f8fbef43ae1d92f2b4da449e9cd92f545d0090
OLAB-EN-A11Y-NOTATION-002,cmp:thy,explore,parts/cmp/chapters/thy/explore.html,251,,expr-bd929c799e4369f1,content/computability/computability-theory/reducibility.tex,42,7,1,expression-occurrence-set-cross-chapter,"[{""chapter_key"":null,""formula_id"":""projected-formula-0015864"",""normalized_tex"":""K_0 = \\Setabs{\\tuple{x,e}}{x \\in W_e}"",""source_column"":7,""source_file"":""content/computability/computability-theory/reducibility.tex"",""source_ledger"":""data/cmp-thy-semantic/semantic_occurrences.jsonl"",""source_ledger_line"":545,""source_line"":42}]",PENDING_FINAL_PAGINATION,"K_0 = \Setabs{\tuple{e,x}}{x \in W_e}",d4d672a5e81f7f2fa5637789e6800e765ec32f730b4cfb75cfa9332417d9b40a,7b8323fcd4dd359dc41cdecd69f755b9a62d1e4598c26f2382ee42639223fcc2
