expression_id	physical_unique_source_occurrences	canonical_projected_occurrences	normalized_tex
expr-01208e159d2aec8c	58	66	\land
expr-023ca591b3259365	1	2	\lnot(!A \lif !B) \Sequent !A
expr-02b3026326d3b54c	1	2	\Gamma_0 \cup \Delta_0 \subseteq \Gamma \cup \Delta
expr-02b4bad32cefa208	1	1	\lexists[x][!A(x)] \fCenter !A(a)
expr-03d217da1266139a	2	2	\lforall[x][!A(x)] \fCenter !A(a)
expr-043a718774c572bd	214	211	s
expr-043b130790fae68b	8	11	\lnot !A \lor !B
expr-04aedf1324e89d79	1	1	!A(t) \Sequent \lexists[x][!A(x)]
expr-051c709827148ee1	1	1	!A(t) \fCenter \lexists[x][!A(x)]
expr-0588c54ec06dca9c	3	6	!A\land !B \fCenter !A
expr-06575b976993a4ba	1	1	\eq[t_1][x]
expr-0697b6a0fa6c3ee7	1	2	\lnot(!A \land !B) \Sequent \lnot !A \lor \lnot !B
expr-06fd957869af3dd5	1	2	!A \fCenter !A \lor !B
expr-09042f0738c06094	1	2	!A \lif (!B \lif !C) \Sequent !B \lif (!A \lif !C)
expr-094fb500e7c547ce	1	1	\lexists[x] \lnot !A(x) \fCenter \lnot \lforall[x] !A(x)
expr-095efa74a5a00b7a	3	3	\Sat{M}{!A(t_2)}[s]
expr-09bfc832719222a5	3	4	\Pi
expr-0a231eaa20f13713	5	8	\Gamma_0'
expr-0a6a607d7e1aaf50	1	1	\lexists[x][!A(x)] \Sequent \lforall[x][!A(x)]
expr-0aa3e2f148325cbf	1	1	s(x) = \Value{a}{M'}[s]
expr-0ad7cb12711c2533	1	1	\Gamma \Sequent \Delta, \Atom{\Obj P}{a,a}
expr-0be29155e52eeacd	2	4	!A, \lnot !A \fCenter
expr-0cadfc07edb0b7e2	1	1	(\lforall[x][!A(x)] \lif !B) \Sequent \lexists[y][(!A(y) \lif !B)]
expr-0d3e9235585b07fa	1	1	!A(a), \Gamma \fCenter \Delta
expr-0d7eca7837fbd874	2	3	!A \fCenter !B
expr-0e07bb7ee9775df3	1	1	\Sequent \lnot\lexists[x][!A(x)] \lif \lforall[x][\lnot !A(x)]
expr-0f6d72bb2f7c77dc	2	2	\lexists[x][\lnot !A(x)] \fCenter \lnot \lforall[x][!A(x)]
expr-0feeab53510b9b84	5	4	\Sat{M}{!A(t)}
expr-102833adfab98748	13	22	!C \in \Gamma
expr-10a89209d4270bd1	1	1	\eq[s][t], !A(s) \fCenter !A(t)
expr-10e072fde0c2a074	14	14	\Subst{!A}{t}{x}
expr-10f45feee39aacf8	1	1	\lforall[x][!A(x)] \Sequent !A(t)
expr-11320658d0d0d18c	1	2	\Theta = !A \land !B, \Gamma
expr-11d57316ab844446	1	1	\Gamma \fCenter \Delta, \lexists[x][!A]
expr-11d87347aa905eea	3	6	!D \fCenter !D
expr-120a8d5540bd6b37	5	5	\Gamma \Proves !A(c)
expr-126b3bc6bacddafe	1	1	\lforall[x][\lnot !A(x)] \Sequent \lnot\lexists[x][!A(x)]
expr-12ca0f30b3a66711	1	2	!A, \lnot !A \lor !B \Sequent \quad
expr-139c7c04318de35e	13	14	n = 0
expr-14a7d3116c43e7b4	1	2	!C, !B \fCenter !A
expr-15bcdc4938998d11	1	2	\Sequent \lnot(!A \land \lnot !A)
expr-15dd281a903dfa04	2	4	!B \Sequent !A
expr-1736190ad3c501ce	1	2	!A, \Pi \fCenter \Lambda
expr-1787be288f21d07b	4	8	!C \fCenter !C
expr-198456af8a3e0837	2	2	\Sat/{M}{!A(t)}
expr-1ac46baee8da3daf	1	2	\lnot !B, !A \fCenter
expr-1b16b1df538ba12d	467	478	n
expr-1b55bf97f045536d	1	1	\lforall[x][!A(x)], \Gamma \fCenter \Delta
expr-1bf4b79fde939935	1	1	\lforall[x][!A(x)] \fCenter !A(t)
expr-1c02fde17404566a	1	2	\Theta = !A, \Gamma
expr-200280bbeced23f9	1	2	\lnot !A \lor \lnot !B \Sequent \lnot(!A \land !B)
expr-20fe9e1bc1fc806d	2	4	!A \lif !B, \Gamma, \Pi \fCenter \Delta, \Lambda
expr-2160509ff364e743	108	108	\Struct M
expr-222fb49e971fef73	13	21	\pi_1
expr-238b57dc11e17be1	7	13	!A \Proves !B
expr-23908af4895b157a	5	10	!A, \lnot !A \lor !B \fCenter !B
expr-27142ce25d8fe9bf	1	1	\Gamma \fCenter \Delta, \lexists[x][!A(x)]
expr-27b9eff94792ea40	2	4	\Gamma, \Pi \Sequent \Delta, \Lambda
expr-2835979535e3d228	1	1	\Sequent (\lexists[x][!A(x)] \lor \lexists[y][!B(y)]) \lif \lexists[z][(!A(z) \lor !B(z))]
expr-284c47be48fb0c66	63	71	\lnot
expr-285500d0f15d5b54	1	2	\Axiom$ \Gamma \fCenter \Delta, !A$ \Axiom$ !A, \Pi \fCenter \Lambda $ \RightLabel{\Cut} \BinaryInf$ \Gamma, \Pi \fCenter \Delta, \Lambda$ \DisplayProof
expr-2896baf71b1944c4	1	1	\lnot !A(a) \fCenter \lnot \lforall[x] !A(x)
expr-28fc3f45e792a3a4	2	3	!A \fCenter !A, !B
expr-2a1379fe90dc7d04	1	2	\LeftR{\Weakening}
expr-2a231d2dce8e1aed	1	1	\Gamma_0 \Sequent \lforall[x][!A(x)]
expr-2a2975a5dd155866	5	10	\Gamma_0 \Sequent \quad
expr-2a40e74d5d4d543d	1	2	!A, \Gamma_1 \Sequent \quad
expr-2bf658c0363ba19c	3	6	!C, !D \fCenter !D
expr-2c1a2db6315ee34e	1	2	\Gamma, !B, !A, \Pi \fCenter \Delta,
expr-2c7e9afaff1362c9	2	4	\Gamma \Sequent !A
expr-2ca028f2057f7747	2	5	\Sat{M}{!A \lif !B}
expr-2caea4f3c5c28ceb	1	1	\Sequent \lforall[x][\lforall[y][((x = y \land !A(x)) \lif !A(y))]]
expr-2d28a27ac7821632	8	15	\pi_0
expr-2d711642b726b044	501	497	x
expr-2dfcd8bd95715811	1	2	!B \lif !A \Sequent \lnot !A \lif \lnot !B
expr-2e78a76f7c85e3c4	1	2	\LeftR{\lnot}
expr-2e7d2c03a9507ae2	73	71	c
expr-2f90c672947cfe25	1	2	!A, !B \Sequent !A \land !B
expr-2fef96237634152a	0	2	\Sat/{M}{\lnot !A}
expr-30385713a9fb4d80	0	3	\Sat{M}{!A \lor !B}
expr-317e17616fc0a262	1	2	!A \Sequent !A \lor !B
expr-326409203de1494b	1	1	\eq[t_1][t_2] \fCenter \eq[t_1][t_2]
expr-33465e9912ea9e01	3	3	!A(a) \fCenter !A(a)
expr-34440f999ffc4527	3	3	\Sat{M'}{!A(x)}[s]
expr-3581a380e0727e9f	1	2	\Gamma_0'' \Sequent !A
expr-35e466235ae209ba	2	4	\lnot !A, \Gamma \fCenter \Delta
expr-371bacbea5363456	4	14	\Sat{M}{!B}
expr-377bdbc52c3bb70b	4	4	!A(t) \Proves \lexists[x][!A(x)]
expr-380577044ba4ea75	1	2	!B \Sequent !A \lor !B
expr-380918b946a52664	16	16	=
