expression_id	physical_unique_source_occurrences	canonical_projected_occurrences	normalized_tex
expr-0113bbb81598d6d8	1	1	\unitline \times \unitline
expr-019a811125828efa	1	1	h_m(x)
expr-0416c7345677b4d9	2	2	\beta = 0
expr-082db4c82cd55c3c	1	1	h_m
expr-0c988f8f79315b86	1	1	f(x) = |x|
expr-0f1a0ea14f982693	1	1	f(c + x)
expr-13d3ca4e970acf51	3	3	\tuple{a, b}
expr-1426674c44e8876f	9	9	a_1
expr-144d219b08bf6c0e	1	1	f(\nicefrac{1}{2}+\beta) - f(\nicefrac{1}{2})
expr-148de9c5a7a44d19	170	169	p
expr-1b16b1df538ba12d	467	478	n
expr-1bad6b8cf97131fc	2	2	-1
expr-1d94df5b66df527b	1	1	f(a, b) = f(c,d)
expr-20357fc605f38d5b	3	3	\cardeq{\unitline}{\unitsquare}
expr-235b4507e6ad1587	1	1	\lim_{n \rightarrow \infty} 2^{(\frac{1}{2}-n)} = 0.
expr-252f10c83610ebca	404	398	f
expr-259072e6c653cc56	17	17	f(x)
expr-2d711642b726b044	501	497	x
expr-2dfab4a78393f05c	7	7	h_1
expr-2e7d2c03a9507ae2	73	71	c
expr-2ed52d51edc5e0ab	7	7	h(x)
expr-2f4583c8b7c73ba0	10	8	f'
expr-317c048f143649ec	1	1	\frac{f(\nicefrac{1}{2}+\beta) - f(\nicefrac{1}{2})}{\beta}.
expr-3c71c5ee4ef54e16	1	1	{f}'(c) = \lim_{x \rightarrow 0}\left(\frac{f(c +x) - f(c)}{x}\right) \text{ where a limit exists}.
expr-3e23e8160039594a	52	52	b
expr-42a18589cf97b8ca	1	1	|x| =-x
expr-457e9235e6c708ba	1	1	\sqrt{\left(\nicefrac{1}{2^{n}}\right)^2+\left(\nicefrac{1}{2^{n}}\right)^2} = 2^{(\frac{1}{2}-n)}
expr-463f2998327eb3a6	2	2	[0,1]
expr-49273dd1c648eb11	1	1	2^{(\frac{1}{2}-n)}
expr-4b850654a002e903	1	1	0.\dot{1}\dot{0} = 0.1010101010\ldots
expr-4e07408562bedb8b	54	56	3
expr-53619f07d192583d	1	1	f(c) = \lim_{x \rightarrow c} f(x)
expr-5afa20230f875253	42	42	n \in \Nat
expr-5b86eb1897c44804	3	3	\ell
expr-5d17cb9ad3fcb3a1	1	1	a &= 0.a_1a_2a_3a_4\dots\\ b &= 0.b_1b_2b_3b_4\dots \intertext{Now consider the function $f \colon \unitsquare \to \unitline$ given by} f(a, b) & = 0.a_1b_1a_2b_2a_3b_3a_4b_4\dots
expr-5d2fdba2ed4efda7	4	4	h_3
expr-5feceb66ffc86f38	220	219	0
expr-686d29dd27b7437a	1	1	(a,b)
expr-6b86b273ff34fce1	238	241	1
