expression_id	physical_unique_source_occurrences	canonical_projected_occurrences	normalized_tex
expr-01208e159d2aec8c	58	66	\land
expr-013900bacaac5a80	2	3	\PAx
expr-0175b63560ee0f1d	6	10	\FalseCl
expr-01cadf2075e66b6d	12	15	!A_k
expr-02698ee916e95e18	2	2	\tuple{M, N}
expr-043a718774c572bd	214	211	s
expr-043b130790fae68b	8	11	\lnot !A \lor !B
expr-04fe3aab9fcb0e65	1	1	\Proves \lnot\lnot(!A \lor \lnot !A)
expr-0541b14266a3e4db	1	1	(!A \lif \lfalse)\lif \lfalse
expr-071176c2ecd1d441	2	2	\sqrt{2}^2 = 2
expr-08f271887ce94707	240	240	M
expr-0906c36ab520717a	14	11	!A \lif \lfalse
expr-0a9462098bc63c07	1	1	\comp{h_1}{g}
expr-0bc0399801138e38	1	1	\Proves ((!A \land !B) \lif !C) \lif (!A \lif (!B \lif !C))
expr-0c4dd0dc7656258c	1	1	!A \lif (!A \lif \lfalse) \lif \lfalse
expr-0c7b840d8c01f194	6	6	!A_2
expr-0e4763978622e187	7	7	f_1
expr-15c87d4f535de64c	1	1	\lnot \lfalse
expr-16bbe241ef560ca5	2	2	!A_1 \land !A_2
expr-1784e77926e93b0d	1	1	!A \lif \lnot \lnot !A
expr-1a2c0b459511a696	7	12	\Intro{\lif}
expr-1b16b1df538ba12d	467	478	n
expr-2092482e13085ac8	1	1	h_g(M)
expr-234ef32b30394a54	11	11	(!A \lor !B)
expr-23fac266c08cc34b	12	12	\Obj p_i
expr-240381337f804e9f	68	104	!A \lif !B
expr-252f10c83610ebca	404	398	f
expr-2748f9dc3cc1f0e2	1	1	s = 1
expr-284c47be48fb0c66	63	71	\lnot
expr-2964da6473df3700	1	1	p_1(\tuple{N_1, N_2}) &= N_1\\ p_2(\tuple{N_1, N_2}) &= N_2
expr-2b9b353926f46a0e	2	2	\tuple{i, N_i}
expr-2bae3c415d461f55	1	1	\lnot (!A \lor !B) \liff (\lnot !A \land \lnot !B)
expr-2c395e04a3fd10ef	1	1	\tuple{M_1, M_2}
expr-2c99df5510ef4176	1	1	f(M)(h) = h(M)
expr-2d711642b726b044	501	497	x
expr-2dfab4a78393f05c	7	7	h_1
expr-2f6f2c79393f7f3e	1	1	s = 2
expr-303d52c8d005ab48	39	36	!B \in \Gamma
expr-318f93b8c3835cd2	8	8	\Obj p_1
expr-31d8c760c0d249b6	2	2	\tuple{s, M}
expr-341d96cde465b372	4	4	!B_2
expr-34ea3774f28a03cc	2	2	3^{\log_3 x} = x
expr-36101f733cc60554	2	3	\Discharge{!B}{1}
expr-361740d1927f400f	2	2	a^b
expr-362b66a787a1510e	2	2	!B_1 \land !B_2
expr-376d5037f2a5b8b0	9	9	\Obj p_0
expr-3808d02efb9b8ab1	1	1	\lnot\lnot(!A \lor \lnot !A)
expr-3a2254dc86e62be8	2	2	b = \log_3 4
expr-3b49e1a3f6189bbd	7	6	!A \liff !B
expr-3e23e8160039594a	52	52	b
expr-3feafb941642eabf	3	3	h_g
expr-3fedcb6be81951cd	3	4	((!A \land !B) \lif !C) \lif (!A \lif (!B \lif !C))
expr-400d9b86aea182cc	1	1	f(g) = h_g
expr-435599bfdd587fb6	2	2	a = b = \sqrt{2}
expr-440d2526736cf8aa	2	2	\PVar
expr-448918e3f4404d43	2	2	a^b = \sqrt{3}^{\log_3 4} = 3^{1/2 \cdot \log_3 4} = (3^{\log_3 4})^{1/2} = 4^{1/2}= 2,
expr-456b7411bf9a5ca1	2	2	!A \lor (!A \lif \lfalse)
expr-47870cb1512a53b0	1	1	\Proves !A \lif (\lnot !A \lif \lfalse)
expr-4e07408562bedb8b	54	56	3
expr-5045ba03c70ef68c	6	6	(!A \lif !B) \land (!B \lif !A)
expr-519f93e1d29ece13	1	1	\Elim\lif
expr-5236dab6ef549d92	2	2	f(g)
expr-529ad2daacd7efcb	56	63	\lor
expr-531f1d8ca159fbe9	2	2	\sqrt 2
expr-5387224a20e2635f	1	1	\lnot\lnot\lnot !A \lif \lnot !A
expr-57885e4c75965b23	626	824	\Gamma
expr-5b14206372be8b47	1	1	\Proves ((!A \lor (!A \lif \lfalse))\lif \lfalse)\lif \lfalse
expr-5e211f064afeacc7	2	3	\Discharge{!B}{n}
expr-6083b5d9fe866e20	1	1	h_g(M) = k_{g,M}
expr-6094f3e0df6f5481	1	1	((!A \lor (!A \lif \lfalse))\lif \lfalse)\lif \lfalse
expr-63b2ab0fa37bac98	1	1	\comp{h_2}{g}
expr-65fb0d7eff50b8e8	17	25	!A_i
expr-68edad7975ad0bf6	1	1	h(M)
