expression_id	physical_unique_source_occurrences	canonical_projected_occurrences	normalized_tex
expr-02698ee916e95e18	2	2	\tuple{M, N}
expr-057527be7b514060	1	1	\tuple{\num{n+1}, H(\num{n}, F(\num{n}))}
expr-06d646c0dbd15efb	1	1	\tuple{\num{n+1}, F(\num{n+1})}
expr-08a31aaffef905c3	13	12	x_n
expr-08c6aa8d5824f2de	25	25	\Succ
expr-08dacf0f9d78188a	20	20	\lambd
expr-08f271887ce94707	240	240	M
expr-0a566b1db5acde7f	13	13	g_0
expr-0abda97defb2f090	1	1	K(y) = \lambd[x][y].
expr-0b33598471fdb4d5	1	1	F(u) = (u(T,\tuple{\num 0, G}))_1.
expr-0efa22ea8f7ba6a7	1	1	F(\num{0}) & \equiv G \\ F(\num{n+1}) & \equiv H(\num{n}, F(\num{n}))
expr-10457071a295e5df	1	1	P(\num 1)
expr-14fcb4e1ccaa4f01	1	1	M(x,y,z,w)
expr-15a5f20420b60622	1	1	f(x) = x + 3
expr-17353f1e3ded0f24	3	3	f_x(y)
expr-187ed3e0ef02ce2f	2	2	F(\num{m}, \num{n})
expr-18f5384d58bcb1bb	31	31	Y
expr-1b16b1df538ba12d	467	478	n
expr-1cb0dd24eeda5f8a	1	1	(P)_1
expr-1f689e1f18761928	1	1	\lambd[x_1][\lambd[x_2][\ldots\lambd[x_n][N]]]
expr-20834c302cbbb686	1	1	H(\num{n}) \equiv D(\num{n}, H(S(\num{n})), F(x, \num{n})).
expr-20ae96ce3f15aa1e	1	1	P(\num 0)
expr-20fa5e2300aaaa73	1	1	K(M)
expr-21ff5c658a6fff1a	1	1	\lambd[x][(x + 3)]
expr-22d49beaad9e2623	1	1	\fn{ReducesToInOneStep}
expr-232ee327014602c6	1	1	F(\num {n+1}) \equiv H(\num n, F(\num{n}))
expr-24ff3f7fddede28f	1	1	T(\tuple{\num{n}, M}) \red \tuple{\num{n+1}, H(\num{n}, M)}.
expr-252f10c83610ebca	404	398	f
expr-27271d42717f2051	1	1	(P)_0
expr-28c24d498d4f4597	2	2	l(x) = g(\fn{diag}(x))
expr-29e8525545d84c9c	1	1	h_x(n)
expr-2d711642b726b044	501	497	x
expr-2e7d2c03a9507ae2	73	71	c
expr-308fda5bda779517	3	3	f_x
expr-3269d94607e3df86	1	1	H = YU \equiv U(YU) = U(H).
expr-333e0a1e27815d0c	32	32	G
expr-335b5e6f91a8441f	2	2	m_0
expr-34953485bf2616fb	1	1	\lambd[x_0][\dots \lambd[x_{n-1}][x_i]]
expr-35b907cb05c2dfeb	2	2	\lambd[x][MNP]
expr-36fe203bbfba2f8a	1	1	D(M, N, \bar{1}) \red N
expr-385262088dac5789	2	2	Y = (\lambd[xg][g(xxg)])(\lambd[xg][g(xxg)])
expr-38ac21ef682959c7	1	1	F(\num 0) & \equiv G \\ F(\overline {n+1}) & \equiv H(\num{n},F(\num{n})) \intertext{for every natural number $n$, where} G & = \lambd[\vec z][G'(\vec z)] \text{ and}\\ H(u,v) & = \lambd[\vec z][H'(u,v(u,\vec z),\vec z)].
expr-38bcd8e10f54eff9	1	1	F(u)
expr-38de222787f08c1c	1	1	F(\num 0) \equiv G
expr-390de550262a3bc4	1	1	D(x,y,z)
expr-3970c616f467980e	2	2	h_x
expr-3bf8869004d647ba	1	1	\lambd[x][f_x]
expr-3d0651532b8c262e	1	1	f(0, \vec z) & = g(\vec z) \\ f(x+1, \vec z) & = h(z, f(x,\vec z), \vec z).
expr-3e1c8f0184701034	1	1	F(\num{0}) \equiv G
expr-3e23e8160039594a	52	52	b
expr-3ed5109efad3bece	1	1	g(m)
expr-3f39d5c348e5b79d	37	37	D
expr-3f543de4a017b06d	1	1	\fn{Proj}^n_i
expr-3ffb8d0c0c048885	1	1	\lambd[x][(x+3)]
expr-40f87716a93e8e9e	1	1	D(M, N, \bar{0}) \red M
expr-42dfca9530b6e6b5	1	1	\num{0} (T, \tuple{\num 0, G}) \equiv \tuple{\num{0}, G}
expr-43797314848d20f1	1	1	g(x) \simeq \umin{y}{f(x,y)}.
expr-43a86cd1a65542e0	1	1	M[x/N]
expr-44bd7ae60f478fae	23	23	H
expr-44c584412319b4d8	1	1	\tuple{\num{n}, F(\num{n})}
expr-45a7ad2dd6915d22	1	1	N_1 \ident P \ident N_2
expr-4675b4292c1aff69	2	2	\lambd[x][\lambd[y][\lambd[z][M]]]
expr-47031b2080b536b6	2	2	f(n_0, \dots, n_{k-1})
expr-47bc44b8c80f1f24	1	1	(\lambd[x][\lambd[y][x]])MN \bredone & (\lambd[y][M])N \\ \bredone & M
expr-4893e9df8b5496eb	138	138	\alpha
expr-49045266e40616d4	1	1	\lambd[x][H(\num 0)]
expr-4ae81572f06e1b88	44	44	Q
expr-4b017fd4a0410046	1	1	YU
expr-4b68ab3847feda7d	108	108	X
expr-4bc460034617c2e5	1	1	(\lambd[x][(x + 3)])(2)
expr-4dc4e01def696af8	14	14	\Proj{n}{i}
expr-4f0f1e4a3167d257	8	8	x_i
expr-5081cbc657fe24bd	3	3	\num{m}
expr-5083e5d206a852bb	1	1	G(\num m)
expr-52a6f36ab44880c7	1	1	\lambd[y][(y + 3)]
expr-53aebbe1a4de6741	4	4	(MN)
expr-54c66fee3cb6e550	1	1	(\lambd[x_1][\lambd[x_2][\ldots\lambd[x_n][N]]]) M_1 \dots M_n \bredone\\ \begin{aligned} \bredone {} & (\Subst{(\lambd[x_2][\ldots\lambd[x_n][N]])}{M_1}{x_1}) M_2 \dots M_n\\ \eqs {} & (\lambd[x_2][\ldots\lambd[x_n][\Subst{N}{M_1}{x_1}]]) M_2 \dots M_n \\ \vdots & \\ \bredone {} &\Subst{\Subst{P}{M_1}{x_1}\ldots}{M_n}{x_n} \end{aligned}
expr-553780ea8a2cf901	1	1	M = \lambd[x][\lambd[y][\lambd[z][\dots]]]
expr-556dc1570530269c	1	1	N_2 \red P
expr-575d86b85365c7b4	3	3	G_0
expr-588e9bc6c2f81c26	1	1	\lambd[x][\lambd[y][((((xx)y)x)(\lambd[z][(xz)]))]].
expr-594e519ae499312b	66	66	z
expr-5a4395962f1774ea	1	1	f(x_0, \dots, x_{k-1})
expr-5ae19a29dd56473a	1	1	P \red P'
expr-5b93a9b0461acefd	13	13	Yg
expr-5c62e091b8c0565f	122	122	P
expr-5d57610ff217ffc8	1	1	D(M,N,\num 0) & \red \num 0 (K(N)) M \red M \text{ and}\\ D(M,N,\num 1) & \red \num 1 (K(N)) M \red K(N) M \red N,
expr-5e1a1a36d46632a4	2	2	G'
expr-5e99ae39a3dcfd6c	5	5	\lambd[x][\lambd[y][x]]
expr-5fc9cece534f0f27	5	5	\lambd[y][y]
expr-5fe6dc6b2281b3d2	19	19	\Zero
expr-5fea10b1c5e67a23	4	4	\lambd[y][x]
expr-611fd5e7e553a5ef	2	2	f(x,y)
expr-62484e37ccfd112e	1	1	M(x,y)
expr-628a80a5ab89758a	1	1	f(x,y) = x
expr-62c66a7a5dd70c31	105	105	m
expr-638d6219cf79de01	1	1	M(x,y,z) = \dots
expr-65b364bb82ea19d5	2	2	\lambd[y][\lambd[x][y]]
expr-68df1dc4dce4ac05	1	1	F(\num{n+1}) & \red (\num{n+1}(T, \tuple{\num 0, G}))_1 \\ & \equiv (T(\num{n} (T, \tuple{\num 0, G})))_1 \\ & \equiv (T(\tuple{\num{n}, F(\num{n})}))_1 \\ & \equiv (\tuple{\num{n+1}, H(\num{n}, F(\num{n}))})_1 \\ & \equiv H(\num{n}, F(\num{n})).
expr-6d70a9984848e206	1	1	M \red P
expr-6de290a1107c89bb	2	2	M \red N_1
expr-6e686b1f43cff88f	1	1	F\, \num{n_0}\, \num{n_1} \dots \num{n_{k-1}} \red \num{f(n_0, n_1, \dots, n_{k-1})}
expr-7022f5cc704457a8	1	1	F, \num{n_0}\, \num{n_1} \dots \num{n_{k-1}}
expr-7082050d06a3d44b	4	4	(\lambd[x][M])
expr-70c41d2f523a43cf	1	1	(\lambd[x][(\lambd[y][yx]) z)] v \redone (\lambd[y][yv]) z
expr-721575d946b455ec	8	8	\lambd[x][M]
expr-72ec741403c87a9e	7	7	N_2
expr-752a4517b8b53d0a	2	2	MNPQ
expr-76da57b1a01eccae	1	1	N_1 \red P
expr-777e6971be9f36a9	1	1	2 + 3
expr-77c413b453e89606	2	2	Yg \equiv_\beta g(Yg)
expr-79c10412438be53b	1	1	\fn{Proj}^n_i(x_0, \dots, x_{n-1}) = x_i
expr-79d4c7f9c8579543	117	115	\Nat
expr-7a8dd6984c28609c	1	1	H(\num{n}) & \equiv U(H, \num{n}) \\ & \red D(\num{n}, H(S(\num{n})), F(x, \num{n})),
expr-7f024b2d7f1db4d4	19	19	\num{n}
expr-807308ed00edd33b	1	1	h_x(0)
expr-8098ac49d9f4170a	1	1	F(\num{0}, \vec z) & \equiv G(\vec z) \\ F(\overline{n+1}, \vec z) & \equiv H(\num{n}, F(\num{n}, \vec z), \vec z)
expr-8254c329a92850f6	120	120	k
expr-831b03e703e0af67	1	1	(\lambd[z][yz])x
expr-83237ad595be847b	2	2	M \equal[\beta] N
expr-86aad91554a7b587	2	2	G_{k-1}
expr-86be9a55762d316a	25	25	K
expr-8a83ec2d66cc5c25	1	1	g(x, k)
expr-8ce86a6ae65d3692	56	56	N
expr-8e93fb0fe49526c0	1	1	f(m_0, \dots, m_{n-1})
