expression_id	physical_unique_source_occurrences	canonical_projected_occurrences	normalized_tex
expr-00f18ba81ffa3b28	1	1	\Log{K} \Proves \Box(!A \lif !B) \lif (\Diamond!A \lif \Diamond!B)
expr-00fcf6f067f4a5be	1	1	\Log{K}!A_1\dots!A_n \Proves \Dual
expr-023b85f6fb6dccc1	1	1	\Log{KT5} \Proves \Box\Diamond\Box!A \lif \Box\Box!A
expr-03985b3ffef33a06	1	1	\Gamma \Proves[\Sigma] \lnot!A \lif \lfalse
expr-04ccf2258fa7fd73	2	1	\lnot\Box\lnot !A
expr-053c54186942dd46	1	1	\Ax{Dual}
expr-061949694fc5a2d0	1	1	!B_n \ident !A
expr-07291b17720eb742	1	1	\SSubst{!A}{\subst{!D_1}{p_1}, \dots, \subst{!D_n}{p_n}} \in \Sigma,
expr-07f71904c4a486bd	1	1	\Log{KTB} \Proves/ \Log{5}
expr-08488b55c227bb59	1	1	<k
expr-092317f4ffe738ba	4	4	\Log{KT5} \Proves \Ax{B}
expr-09af01ee56582782	1	1	\Box!A \lif \Box(!B \lif (!A \land !B))
expr-0a5f32fe2818b758	1	1	\Log{KD} \Proves !B
expr-0b5da97f1d4da2bf	1	1	\mClass{C} \subseteq \mClass{C}_i
expr-0bde4816bf6d76c3	1	1	\Log K
expr-0c19163583ee4bfc	1	1	\Box((!A \land !B) \lif !A) \lif (\Box(!A \land !B) \lif \Box!A)
expr-0c4ca6278f066c60	1	1	\Log{KT5} \Proves \Box!A \lif \Box\Diamond\Box!A
expr-0e6552391680df3d	1	1	(\lnot \Box \lnot\lnot p \lif \Diamond \lnot p)
expr-102884d364453489	1	1	\Log{K} \Proves \Subst{!C}{!A}{q} \liff \Subst{!C}{!B}{q}
expr-103542f371fe8edd	1	1	\Gamma \cup \{ !A\} \Proves[\Sigma] !B
expr-1078b1cad3f129a0	1	1	\Box\lnot !A
expr-12318729933c8a39	1	1	\Log{KDB4} \Proves \Box\Box!A \lif \Diamond\Box!A
expr-13f237de7b4b344c	1	1	(!A \land !B) \lif !B
expr-148de9c5a7a44d19	170	169	p
expr-15428c53a6d72152	1	1	\Box(!A \lif (!B \lif (!A \land !B))) \lif (\Box!A \lif \Box(!B \lif (!A \land !B)))
expr-165a2676a255cdfb	4	4	\Log{KT} \Proves \Ax{D}
expr-16b95c611a54e3bb	1	1	!A = \lnot p
expr-18866b84545a9559	1	1	\Sigma'
expr-189f40034be7a199	16	16	j
expr-19581e27de7ced00	8	8	9
expr-19840bcd955ee83f	1	1	\Log{KB4} \Proves \Diamond\Diamond !A \lif \Diamond !A
expr-1a063c50d61363dc	1	1	\Log{K} \Proves \Diamond(!A\lor!B) \lif (\Diamond!B \lor \Diamond!A)
expr-1a8025b822ea3ae8	1	1	(\Box(!A \land !B) \lif \Box!A) \lif{}
expr-1b16b1df538ba12d	467	478	n
expr-1b6b21b5976caa8c	1	1	\Log{K} \Proves \Box(!A \lor !B) \lif (\Diamond !A \lor \Box !B)
expr-1c7c647db363a3d5	1	1	\Log{K} \Proves \lnot(!A \lor !B) \lif \lnot!A
expr-1e095d3ffc5363ea	4	4	\Log{KB5} \Proves \Ax{4}
expr-1edbbd842397f724	3	3	\Ax{T_\Diamond}
expr-1f2c1ee94265bef0	1	1	\Log{K}!A_1\dots !A_n \Proves !B
expr-2089967f10a9b8f2	1	1	\Box(!B \lif (!A \land !B)) \lif (\Box!B \lif \Box(!A \land !B))
expr-216c5d7f3e59d6c0	1	1	\Log{K} \Proves !A \lif (!B \lif (!A \land !B))
expr-21d031b0dacd8cc7	10	10	\Log{K}
expr-2265d2c05f6ad387	2	1	\lnot \Box p \lif \lnot\Box\lnot\lnot p
expr-22a89cafaee2591f	1	1	(\Box(!A \land !B) \lif (\Box !A \land \Box!B))
expr-231e35a00ca52652	2	2	\mSat/{M}{\Box p \lif \Box\Box p}[w_1]
expr-240381337f804e9f	68	104	!A \lif !B
expr-24cd4e56416f5e50	1	1	\mSat/{{}}{\Diamond\lnot p}
expr-257be58da2eade38	1	1	\Box!A \lif \Diamond!A
expr-25b3e180818b5473	1	1	\Gamma \cup \Delta \Proves[\Sigma] !B
expr-270dc0fdb619ba89	1	1	\Log{KDB4} \Proves \Diamond\Box!A \lif !A
expr-28a789f9715e1be9	1	1	> 1
expr-2c624232cdd22177	2	2	8
expr-2d1270bb640714d1	1	1	(\lnot \Box \lnot\lnot p \lif \Diamond \lnot p) \lif (\lnot \Box p \lif \Diamond\lnot p)
expr-2d7530d3a21435c8	1	1	k>1
expr-2d7f97cd2a0481c5	1	1	\Gamma, !A \Proves[\Sigma] !B
expr-2e18ad1f908942dc	1	1	\Log{KD} \Proves/ \Box p \lif p
expr-2ed749931ec462f5	1	1	\lnot\Diamond !A
expr-2f70130c7ab5739f	1	1	K \in \Sigma
expr-2fc04c33adb96f01	1	1	\Log{K} \Proves \Box\lnot !A \lif (\lnot \Box \lnot (!A \lor!B) \lif \lnot\Box\lnot !B)
expr-2fc31acef0d322e4	1	1	\Log{KTB4} = \Log{KT5} = \Log{KDB4} = \Log{KDB5}
expr-3106fac3e3c8f992	26	26	w_2
expr-319b49b17c38d247	9	13	!B_n \in \Gamma
expr-31d6a90607a6bc01	1	1	(\Box!A \lif (\Box !B \lif \Box(!A \land !B))))
expr-31ee67f41c5384b5	2	2	!B \in \Log{K}!A_1 \dots !A_n
expr-32f11b9dc837c819	2	2	!B_k
expr-3313ce876fcd6074	1	1	\Log{K} \Proves \Box!A \lif \Box (!B\lif !A)
expr-331bbe87972d0b2f	2	1	\Box(\lnot\lnot p \lif p) \lif (\Box \lnot\lnot p \lif \Box p)
expr-33a13c40e931da5f	1	1	!B \equiv \Box !C
expr-341d96cde465b372	4	4	!B_2
expr-343d2a2c1ab275b2	1	1	\Log{K} \Proves \lnot\Diamond !A \liff \Box\lnot !A
expr-3719bd0e81217b5a	1	1	\Log{K} \Proves (\Diamond !A \lif \Box !B) \lif \Box(!A \lif !B)
expr-379b609d18ceb5b3	1	1	\Log{K} \Proves \lnot !A \lif (\lnot !B \lif \lnot (!A \lor !B))
expr-3994f5bb8fc49c9b	1	1	\Log{K} \Proves \Diamond \lnot p \liff \lnot\Box\lnot\lnot p
expr-3aca066f86c9298a	1	1	\Log{K}!A_1\dots!A_n \Proves !C \lif !B
expr-3b60a51ca60feb0d	1	1	\Log{K} \Proves \Box!A \lif (\Diamond(!A \lif !B) \lif \Diamond !B)
expr-3bc29fc095523486	1	1	\Diamond \lnot p \liff \lnot\Box\lnot\lnot p
expr-3c5592ed3a6cb02b	2	2	\Gamma \Proves[\Sigma] \lfalse
expr-3d1e5ad3c4923511	1	1	\Log{K} \Proves (!A \lif !B) \lif (\lnot !B \lif \lnot !A)
expr-3e01c74c53729a40	1	1	\Log{K} \Proves \Box!A \lif (\Box !B \lif \Box(!A \land !B)))
expr-3f96bc573087aa57	4	4	!A \in \Sigma
expr-438757f12dd8c3fc	24	24	w_1
expr-43a9c3c2e61f7961	2	1	(\Box \lnot\lnot p \lif \Box p)
expr-43fa93d0be1e4969	1	1	!C \lif !B \in \Log{K}!A_1 \dots !A_n
expr-4446fcf0cd4d6fb1	1	1	\Box!A \lif \Box (!B\lif !A)
expr-44a0cd8d367911cf	1	1	\Log{KB4} \Proves \Diamond!A \lif \Box\Diamond!A
expr-453110e031e4f41a	2	1	\lnot\lnot p \lif p
expr-4794277b410dfc51	11	11	\lnot p
expr-47bd1b3452eab684	7	5	\lnot\Box\lnot
expr-47c6793cea7c1123	1	1	!C_k = !B
expr-49fbfbae7391d15b	2	2	\Ax{K}
expr-4a44dc15364204a8	3	3	10
expr-4a8223ac7b0e9518	1	1	\Log{KB} \neq \Log{K4}
expr-4b32f069e8444936	1	1	(\Box!A \lif (\Box !B \lif \Box(!A \land !B)))
expr-4bd801cb1572ecb0	1	1	(!A \lif \lfalse) \lif ((\lnot!A \lif \lfalse) \lif \lfalse)
