expression_id	physical_unique_source_occurrences	canonical_projected_occurrences	normalized_tex
expr-01cbeee49ef408e4	1	1	\tuple{2, d_1, d_2, \Gn{(!A \land !B)}, 0, k}
expr-020f6e328243f9c3	1	1	\delta_3
expr-02550ab6716b4f94	1	1	(d)_0 = 1 \land {}\\ \bexists{a<d}{(\fn{Discharge}(a, (d)_1, \fn{DischargeLabel}(d)) \land {}}\\ \fn{EndFmla}(d) = (\Gn{(} \concat a \concat \Gn{\lif} \concat \fn{EndFmla}((d)_1) \concat \Gn{)}))
expr-031ee570ceb120b7	1	1	\fn{OpenAssum}
expr-03a9b09b35d993ff	7	8	n=0
expr-040a810342b845e3	1	1	\Obj v_3
expr-043a718774c572bd	214	211	s
expr-045d5511ccd7d347	1	1	k=\len{x}
expr-0478cca456dd7cbf	1	1	\scode{\Obj v_5} = \tuple{1, 5} = 2^2\cdot 3^6
expr-05753da05630056a	1	1	(d)_0 = 1 \land \fn{DischargeLabel}(d) = 0 \land {} \\ \bexists{a < d}{\bexists{x<d}{\bexists{t<d}{ (\fn{ClTerm}(t) \land \fn{Var}(x) \land {}}}}\\ \fn{Subst}(a,t,x) = \fn{EndFmla}((d)_1) \land \fn{EndFmla}(d) = (\Gn{\lexists} \concat x \concat a)).
expr-096a3dd9b8a7f299	1	1	\fn{IsAx}(n)
expr-0a71953b84520fa1	1	1	\scode s = \tuple{4, n, i}
expr-0a8d4f24a7d7b0c2	1	1	\bforall{i<\len{\fn{SubtreeSeq}(d)}}{\fn{Correct}((\fn{SubtreeSeq}(d))_i)}
expr-0ba2d8847f9ffff5	1	1	\Gn{\Obj v_i}
expr-0be5d63cc3f703ab	2	2	\fn{Term}(x)
expr-0bfe935e70c321c7	47	46	u
expr-0d33326592643dc4	2	2	n = 2
expr-10e072fde0c2a074	14	14	\Subst{!A}{t}{x}
expr-11a130f973d75747	1	1	(y)_{k-1} = x
expr-13713c3692359d7c	1	1	))
expr-148c6fb578dca7d3	1	1	2^{k_0+1}\cdot3^{k_1+1}\cdot \dots \cdot p_{n-1}^{k_{n-1}+1},
expr-148de9c5a7a44d19	170	169	p
expr-14eba9deaa22aa8d	1	1	\fn{FollowsBy}_{\RightR{\lforall}}(p)
expr-15fa1fb1ff927905	1	1	\Gn{\Obj P^n_j(} \concat \fn{flatten}(z) \concat \Gn{)}.
expr-17238df263c0e460	1	1	\fn{EndSequent}(x)
