expression_id	physical_unique_source_occurrences	canonical_projected_occurrences	normalized_tex
expr-055de4ec3d8e4886	13	13	\kappa
expr-08f271887ce94707	240	240	M
expr-09bfc832719222a5	3	4	\Pi
expr-11baa595827a4e0f	50	49	\omega
expr-2b4af44cb17349bb	6	6	\theta
expr-44bd7ae60f478fae	23	23	H
expr-4893e9df8b5496eb	138	138	\alpha
expr-492247e1bab15272	4	4	\mu
expr-4b68ab3847feda7d	108	108	X
expr-4e73a24d6dbb26ff	10	10	\Lambda
expr-559aead08264d579	478	477	A
expr-55d1823545b5b4c3	24	24	\tau
expr-57885e4c75965b23	626	824	\Gamma
expr-583cf6290785d72c	11	11	\lambda
expr-59a94416a2a319ca	15	15	\eta
expr-5c62e091b8c0565f	122	122	P
expr-65c74c15a686187b	9	9	o
expr-67610b0632683369	18	18	\gamma
expr-70c52efae8978345	2	2	\xi
expr-80ad2e368455b323	1	1	\upsilon
expr-84eb2b123d1102b8	1	1	\nu
expr-86be9a55762d316a	25	25	K
expr-8bc4bfc2bdebfaac	10	10	\epsilon
expr-8ce86a6ae65d3692	56	56	N
expr-8d50b5beb7fe1e79	1	1	\chi
expr-959f488598ceedf4	1	1	\varphi
expr-95d58d27f67c1fbd	1	1	\iota
expr-9a2ae80e5efa1bd7	1	1	\Phi
expr-9c3245dfb4ac54c1	79	78	\sigma
expr-a83dd0ccbffe39d0	19	19	I
expr-a9f51566bd6705f7	23	23	E
expr-acaa4a40f8e9e551	1	1	\Upsilon
expr-bbeebd879e1dff69	6	6	Z
expr-c4694f2e93d5c4e7	10	10	O
expr-c645657d025cc351	1	1	\Xi
expr-c7b34ab03e848fc4	1	1	\Theta
expr-d203ba01eef4198c	74	89	\delta
expr-d65d75b1e6562713	165	149	\Sigma
expr-d6aef031749de4a7	4	4	\Omega
expr-d8696536d4d7a2d6	1	1	\zeta
expr-dabec2cdc19c3167	2	2	\rho
expr-df7e70e5021544f4	186	184	B
expr-e632b7095b0bf32c	40	40	T
expr-f1920a0117831d5f	1	1	\Psi
expr-f1941b975ffcc891	108	119	\Delta
expr-f1cf04093d08b6dc	37	48	\pi
expr-f301f970eb09c336	3	3	\psi
expr-f3f3804480e8551a	99	99	\beta
